"stk","yr","marCatch","frfnCatch","totalCatch","totalRun"
8,1969,0.027686,0.000349,0.028035,0.035211
8,1970,0.122766,0.002624,0.12539,0.139745
8,1971,0.19719,0.00194,0.19913,0.218158
8,1972,0.021221,0.001992,0.023213,0.026015
8,1973,0.011878,0.00018,0.012058,0.014762
8,1974,0.171617,0.007433,0.17905,0.223638
8,1975,0.091606,0.005782,0.097388,0.134229
8,1976,0.048487,0.001532,0.050019,0.058399
8,1977,0.017898,0.000774,0.018672,0.024381
8,1978,0.172649,0.011919,0.184568,0.247376
8,1979,0.11574,0.009966,0.125706,0.175012
8,1980,0.012587,0.001304,0.013891,0.0222
8,1981,0.041013,0.001654,0.042667,0.054026
8,1982,0.195927,0.013089,0.209016,0.272287
8,1983,0.061405,0.006742,0.068147,0.097978
8,1984,0.06712,0.003099,0.070219,0.087391
8,1985,0.027267,0.001091,0.028358,0.033978
8,1986,0.336248,0.034436,0.370684,0.49685
8,1987,0.155078,0.034363,0.189441,0.274635
8,1988,0.022833,0.004349,0.027182,0.044039
8,1989,0.025641,0.00097,0.026611,0.032118
8,1990,0.492031,0.058868,0.550899,0.82294
8,1991,0.279275,0.019896,0.299171,0.427424
8,1992,0.008446,0.016306,0.024752,0.034832
8,1993,0.00963,0.000872,0.010502,0.020616
8,1994,0.148676,0.027119,0.175795,0.272278
8,1995,0.019696,0.016736,0.036432,0.080305
8,1996,0.000783,0.004498,0.005281,0.026382
8,1997,0.006211,0.001157,0.007368,0.00903
8,1998,0.050714,0.01812,0.068834,0.17235
8,1999,0.002801,0.011483,0.014284,0.066984
8,2000,0.005272,0.004851,0.010173,0.034691
8,2001,0.000672,0.000828,0.001531,0.008423
8,2002,0.071633,0.023404,0.099069,0.210538
8,2003,0.054433,0.013096,0.069629,0.109587
8,2004,0.036261,0.015267,0.052916,0.086533
8,2005,0.001628,0.0031,0.00476,0.015947
8,2006,0.173108,0.052588,0.235899,0.504071
8,2007,0.004575,0.00216,0.006735,0.020514
8,2008,0.000912,0.001712,0.002739,0.007733
8,2009,0.000322,0.000277,0.000608,0.008251
8,2010,0.326127,0.109995,0.450132,1.070524
8,2011,0.006801,0.011605,0.018949,0.040331
8,2012,0.000206,0.00121,0.001423,0.00239
8,2013,0.004027,0.004933,0.00896,0.04372
8,2014,0.096775,0.033231,0.136107,0.294682
8,2015,0.003465,0.001446,0.004911,0.021532
9,1952,0.015608,0.001373,0.016981,0.024298
9,1953,0.025691,0.000293,0.025984,0.029456
9,1954,7.241737,0.049669,7.291406,9.31816
9,1955,0.486786,0.011929,0.498715,0.562574
9,1956,0.011871,0.001641,0.013512,0.016833
9,1957,0.02882,7.3e-05,0.028893,0.031702
9,1958,11.738603,0.04216,11.780763,15.098012
9,1959,0.765434,0.008338,0.773772,0.908606
9,1960,0.005443,0.000748,0.006191,0.008098
9,1961,0.002033,0.000351,0.002384,0.003534
9,1962,0.873972,0.060001,0.933973,2.078542
9,1963,0.210982,0.016991,0.227973,0.386328
9,1964,0.001658,0.000193,0.001851,0.002455
9,1965,0.004858,0.000373,0.005231,0.007318
9,1966,1.377425,0.085925,1.46335,2.74553
9,1967,2.249082,0.048106,2.297188,3.142142
9,1968,0.01817,0.000251,0.018421,0.022092
9,1969,0.023146,0.000212,0.023358,0.029343
9,1970,2.363472,0.037775,2.401247,3.930109
9,1971,2.841519,0.014046,2.855565,3.145757
9,1972,0.024802,0.001681,0.026483,0.030675
9,1973,0.024579,0.000683,0.025262,0.02907
9,1974,4.18759,0.049943,4.237533,5.388305
9,1975,0.529965,0.015001,0.544966,0.712331
9,1976,0.032828,0.001081,0.033909,0.038689
9,1977,0.052264,0.000945,0.053209,0.065679
9,1978,4.908286,0.056669,4.964955,6.852397
9,1979,0.833099,0.013835,0.846934,1.146337
9,1980,0.009467,0.002006,0.011473,0.014127
9,1981,0.082179,0.001096,0.083275,0.093568
9,1982,5.793576,0.123126,5.916702,8.780057
9,1983,1.430078,0.012837,1.442915,1.65428
9,1984,0.032224,0.001849,0.034073,0.038407
9,1985,0.008281,9.7e-05,0.008378,0.00991
9,1986,6.692329,0.156338,6.848667,9.20191
9,1987,1.448719,0.059841,1.50856,2.125885
9,1988,0.041317,0.002659,0.043976,0.048983
9,1989,0.003771,0.000204,0.003975,0.004718
9,1990,6.530497,0.17298,6.703477,10.303837
9,1991,2.752088,0.047561,2.799649,4.042107
