"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"148","high","Very Low Prod.","ppnCUUpper","0.75","high",0.116666666666667,0.0749305555555556,0.163888888888889
"149","high","Very Low Prod.","ppnCUUpper","0.05","low",0.276388888888889,0.240138888888889,0.311111111111111
"150","high","Very Low Prod.","ppnCUUpper","0.5","med",0.163888888888889,0.113819444444445,0.209791666666666
"151","high","Very Low Prod.","ppnCUExtant","0.75","high",0.888888888888889,0.777777777777778,0.944444444444444
"152","high","Very Low Prod.","ppnCUExtant","0.05","low",1,0.888888888888889,1
"153","high","Very Low Prod.","ppnCUExtant","0.5","med",0.888888888888889,0.833333333333333,1
"154","high","Very Low Prod.","medCatch","0.75","high",0.759550006256579,0.379716563249342,1.20133640335384
"155","high","Very Low Prod.","medCatch","0.05","low",2.39197835438394,1.67742341534265,3.28434017104215
"156","high","Very Low Prod.","medCatch","0.5","med",1.14747890409156,0.62881686704084,1.63827013225324
"157","high","Very Low Prod.","ppnYrsHighCatch","0.75","high",0.4,0.225,0.6
"158","high","Very Low Prod.","ppnYrsHighCatch","0.05","low",0.85,0.72375,0.925
"159","high","Very Low Prod.","ppnYrsHighCatch","0.5","med",0.55,0.35,0.725
"160","high","Very Low Prod.","stabilityCatch","0.75","high",0.781608980912375,0.482508442500843,1.07856973111075
"161","high","Very Low Prod.","stabilityCatch","0.05","low",0.938388305903884,0.677778150467758,1.2994874953958
"162","high","Very Low Prod.","stabilityCatch","0.5","med",0.8211877467058,0.512575726599021,1.19164821371281
